Controller Name:,"Cathode11109820344"
Trend Name:,"ic_conveyor_position_1"
Trend Tags:,"8"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,2026-08-10,12:37:50;387
Stop Time:,2026-08-10,12:38:42;607
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:Sheet_Conveyor_2\ic_conveyor_position","Program:Sheet_Conveyor_2\var_volts_velocity","Program:Sheet_Conveyor_2\oa_conveyor","Program:Sheet_Conveyor_2\i_conveyor_index","Program:Sheet_Conveyor_2\State_Accel_001.X","Program:Sheet_Conveyor_2\State_Full_Speed_001.X","Program:Sheet_Conveyor_2\State_Decel_001.X","Program:Sheet_Conveyor_2\State_Creep_In_001.X"
Data,2026-08-10,12:37:52;077,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;087,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;097,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;107,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;117,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;127,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;137,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;147,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;157,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;167,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;177,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;187,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;197,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;207,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;217,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;227,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;237,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;247,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;257,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;267,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;277,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;287,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;297,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;307,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;317,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;327,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;337,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;347,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;357,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;367,"5013","0.000000","0","0","0","0","0","0"
